Content Type,Size,Content Title,Content,Designer Name,Instructions For Designer,Reference Link/Image,Assigned By,Assigned Date,Completion Date,Design Status,Approval Status,Captions,Posting Status,Design Drive Link,,,,
Event Cover,,Study in Germany,"FES, 22 Years Logo 
Germany Application Week 
Make Your European Dream Come True!

Perks You Can’t Miss:
* Top Public Universities (Process Starting from 50+ Lacs PKR)
* Business, Computer Science, Law & Engineering Courses 
* 50% Scholarship Available for Private Universities.
* IELTS Accepted.
Register NOW and start your Germany journey this year. 

7th July, 2025 – 12th July, 2025
11:00 AM – 5:00 PM
Join us at FES Offices in Lahore | Rawalpindi | Peshawar| Karachi | Mardan | Wah Cantt | Gujranwala | Abbottabad

Free Counselling
Register Now!
0346 8454999 | 0341 8454888
www.fespak.com",Raheel,"Mention the contact number of Sir Amjad and Ma'am Shumaila. The cities should be mentioned too. Date: July 7, 2025- July 12, 2025",,Malaika,1 July,1 July,Completed ,,"Affordable study plans, scholarships, and top universities, what are you waiting for? Come meet our experts & let’s get you started for Germany 2025.
You can visit us at your nearest FES office and make those study plans happen together.
Date: 7th – 12th July 2025 | 11AM – 5PM
Contact now: 0346 8454999 | 0341 8454888",Posted,,,,,
SM post,,IELTS Instructor,"We are Hiring
IELTS Instructor
Location: Lahore
www.fespak.com",Akbar,,,Insia,1 July,,Completed ,,None,Posted,,,,,
SM post,,IELTS 8.0 BY FES,"At FES, our IELTS 8.0 classes are tailored for students like YOU who want to conquer your exam with 7+ bands, and make study abroad dreams come true.",Akbar,,,Malaika,2 July,,Not completed,,,,,,,,
Banners,211.2 x 97,HO Panaflex,"A Legacy of Two Decades
FES Consultants - Your Trusted  Study Abroad Partner
Become Our Next Success Story
(Flags or names whatever suits)
UK | Australia | USA | Canada | Ireland | Germany | Netherlands | Malaysia | Türkiye | UAE | Hungary | Indonesia | France

(If there is still some space left, add the points we have added in previous expo event covers
250+ Top-Ranked Universities
Scholarships Available
95% Visa Success Rate
Part-Time Work Options
With/Without IELTS Options
Post Study Work Visa )

Insta FB Youtube icon @fesconsultants
www.fespak.com",Tayyaba,Urgent - Make it vibrant like you made the corridor Head office Panaflex,,Rabab,24 June,,Completed ,,None,No need to post,,,,,
SM post,,saeed saab profile,"Saeed Ur Rehman is a strategic HR and finance professional with over 13 years of experience in HR management, financial operations, procurement, and compliance across both nonprofit and private sectors. Holding dual MBAs in Finance and HR, he has led cross-functional teams, implemented regulatory frameworks, and optimized procurement and logistics to enhance operational efficiency. Saeed has contributed to international development projects and is currently serving as Assistant Branch Manager and HR Compliance Officer at FES Higher Education Consultants. He seeks a senior leadership role to drive impactful, ethical, and innovative growth initiatives.",Raheel,,,Raheel Design Head,,,Completed ,,None,No need to post,,,,,
Event Cover,,Peshawar ENU Event,"FES logo, 22 Years, ENU logo
Hi-Tea with Imran Khan – Country Director ENU (Add his pic)
03rd July, 2025
03 PM – 06 PM
Location: FES Office, Peshawar

Who should attend?
Bachelor in Accounting and Finance students from IM Sciences who are planning to apply in the UK.

Get Set with These Essentials:
1. Passport Copy
2. 6th Semester Transcripts
3. Two References
4. English Language Proficiency Document (MOI)
5. Updated CV with Contact Details
6. Statement of Purpose

0346-8454454 | 0342-8454040
www.fespak.com
",Raheel,Most Urgent Task,Use any previous design,Shumaila,2 July,2 July,Completed ,,"We’re excited to host a special Hi-Tea event with Imran Khan, Country Director – Edinburgh Napier University (ENU), UK, exclusively for Accounting & Finance students at IM Sciences on 3rd July, 2025 from 03 PM – 06 PM at FES Office, Peshawar. 

The academic partnership between IM Sciences and Edinburgh Napier University (ENU), UK allows students to avail the 3+1 program, completing 3 years at IM Sciences and progressing to the final year at ENU, graduating with a prestigious UK  degree in Accounting & Finance.

This unique collaboration offers you a fast-track pathway to global exposure, international education and exciting career opportunities — all starting right here at home. So, mark your calendars for 3rd July now!",Posted,,,,,
SM post,,Study Reach,Place Logo & website on RWP session pic,Tayyaba,,,Shumaila,2 July,2 July,Completed ,,"The StudyReach team visited the FES Office, Rawalpindi for a productive session focused on expanding study abroad options. The discussion highlighted StudyReach’s diverse offerings beyond the UK, including New Zealand, the Netherlands and wider Europe, opening new opportunities for students seeking international education. Thank you to the StudyReach team for the insightful session and continued collaboration!",Discard by CEO,,,,,
,,Four invoices,Letterhead by Amer Aziz,Raheel,,,Shumaila,3 July,,Completed ,,None,,,,,,
SM post,,Internship at FES,"Ready to stop scrolling and start building your career?
FES is offering a 2-month paid internship! Yes, it’s real, it’s happening, and it’s calling your name.

What’s in it for you?

6 days a week of hands-on experience

Paid opportunity

A supportive environment that actually helps you grow

Who should apply?

Fresh grads figuring it out

Females looking for a launchpad

Anyone ready to learn, contribute, and show what they’ve got

Departments you can jump into:

Educational Counselling

Marketing

Human Resources (HR)

No fluff. Real work. Real growth.

Send your resume to info@fesrozgar.com and take that first step.

Let’s make your CV a little more interesting.",Tayyaba,*Urgent* - Required by Today,,Ahmad,3 July,3 July,Completed ,,"2-Month Paid Internship at FES! Gain real-world experience in Marketing, HR or Educational Counselling – all while getting paid! Perfect for fresh grads looking to start their careers in a growth-focused, professional environment. Send your CV to info@fesrozgar.com now!",,,,,,
SM post,,UCAS rabab content post 1,"FES, 22 Years logo UCAS logo
Design idea: A student looking at their phone with a hopeful smile, sitting at an airport gate
with a plane in the background. UK landmarks subtly visible (like Big Ben, London Eye).
Warm, sunrise tones with bold date graphics.

Tagline: “Your Next Chapter Starts Here.”
5 July 2025 - Clearing Opens
UCAS Clearing is officially open! If you don’t have an offer or changed your mind — this
is your chance.
FES can help you secure a UK university spot – fast.
Visit your nearest FES Office
www.fespak.com
facebook icon: @fespak1 
insta, linkedin & youtube icons: @fesconsultants
0341-8454888 | 0346-8454999

",Tayyaba,Most Urgent - Share it by today,,Shumaila,3 July,3 July,Completed ,,"UCAS Clearing is officially open from 5th July 2025! If you haven’t received an offer or have had a change of heart, this is your chance to secure a spot at a UK university. FES, with 22 years of experience, is here to help you navigate Clearing quickly and confidently. Get expert guidance and secure your admission without the stress.",,,,,,
SM post,,Top Counselor Incentive,"Put the logo of FES and 22 years of Excellence

We are taking it up a notch!

In addition to the ongoing 5K Bonus per Deposit! 

We’re excited to announce an exclusive reward for Top Performance:

₨20,000 CASH PRIZE  will be awarded to the Top Counselor with the highest number of confirmed deposits by 15th July, 2025.

Let the hustle begin, your hard work deserves to be celebrated!


The winner will be announced on the 16th of July!
 
Keep guiding. Keep achieving. Keep leading!

www.fespak.com
",Akbar,*Top Most Urgent*,,Dr. Touqeer,3 July,3 July,Completed ,,None,,,,,,
Banners,"Width 31.5 inches
Height 94 inches",HO Pillar,"FES and 22 Years Logo

FES Higher Education Consultants
This Way -->",Tayyaba,,,Rabab,4 July,7 July,Completed ,,None,,,,,,
SM post,,Ashura Holidays,"FES and 22 Years Logo
Important Announcement
Dear Team,
Please note that all FES offices will remain closed on 5th and 6th July, 2025 on account of Ashura (9th and 10th Muharram-ul-Haram).

Regular office operations will resume on Monday, 7th July 2025.

Let us take this day to reflect and observe with respect and remembrance.

www.fespak.com",Akbar,Black theme,,Insia,4 July,4 July,Completed ,,Announcememnt!,,,,,,
SM post,,Death Anniversary,"FES and 22 Years Logo
Tribute to Abdul Sattar Edhi
(1928–2016)
HE ASKED FOR NOTHING — AND GAVE EVERYTHING

www.fespak.com",Akbar,,,Insia,4 July,5 July,Completed ,,"Today, we honor Abdul Sattar Edhi, the man who became hope for the hopeless. Let’s continue the kindness he stood for. 🌿",Posted,,,,,
Event Cover,,USW Hi Tea,"FES, USW logo
🎓 HI-Tea with Expert Counselor ☕
Hosted by USW (University of South Wales)
📅 Event Date: July 7, 2025
🕐 Time: 11 am to 5 pm
📍 Location: FES Office, Abbottabad
Join us for an exclusive HI-Tea session with a seasoned Education Counselor from the University of South Wales!

This is your chance to:
✅ Get your questions answered
✅ Understand the application process
✅ Explore scholarships & courses
✅ Learn more about student life at USW
✅ On spot assessment and application process
💼 Ideal for: Students aspiring to study at the University of South Wales

📝 Application Deadline: 10 July 2025

🔗 Register Now: 
📞 For inquiries:    03458454772
03468454747",Raheel,"Urgent Event cover, pls share it today",,Shumaila,4 July,4 July,Completed ,,"Join us for an exclusive Hi-Tea Session with the expert counselor of the University of South Wales (USW) at the FES Office, Abbottabad on July 7, 2025, from 11 AM to 5 PM. This is a great opportunity to get personalized guidance on the application process, scholarships, available courses and student life at USW. You can also get an on-spot assessment and start your application right away before the 10th July, 2025.

This session is ideal for students aspiring to study at the University of South Wales. Don’t miss your chance to interact directly with the expert and get all your questions answered.

📞 0345 8454772
🌐 www.fespak.com
📍Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad.",,,,,,
Paid Ad,,UK Ad,"Study in the UK 
(Highlight Numbers) FOR AD (Big FONT SIZE Pls)
Budget Starting From 30 Lacs 
Scholarships Upto GBP 10,000
Top Up Programs Available
MOI Acceptable - All HEC Recognized Universities
Post Study Work Visa
With/Without IELTS Options 

O/A Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake

Contact Now To Check Eligibility!
0346 8454566
0345 8454708
www.fespak.com

",Tayyaba,"Urgent AD. Text should be visible
No bullets plz ","https://www.pinterest.com/pin/1041457482615057814/
https://www.pinterest.com/pin/399272323241225885/
https://www.pinterest.com/pin/343751384078225873/
https://www.facebook.com/photo.php?fbid=1101931405311401&set=pb.100064836546780.-2207520000&type=3",Insia,4 July,5 July,Completed ,,None,,,,,,
Paid Ad,,Turkey Ad ,"Study in Türkiye
Budget Starting From 13 Lacs 
Scholarships Upto 50%
Pathway to Europe
Full Time Work Allowed
With/Without IELTS Options 

O/A Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake
Contact Now To Check Eligibility!
0346 8454566
0345 8454708
www.fespak.com",Tayyaba,Urgent AD. Ads should have same look,,Insia,4 July,5 July,Completed ,,None,,,,,,
Event Cover,,Abertay In House Session,"FES, 22 Years and Abertay University logo
In-House Session
Featuring
University Officials From Abertay University, Scotland

Doug Watters - Head of International Recruitment
Zainab Eman - Regional Recruitment Manager

Office # 31/2, Upper Ground, Mall of Lahore
7th July, 2025
5:00 PM

0341 8454848
0346 8454546
www.fespak.com",Raheel,Urgent,,Insia,4 July,4 July,Completed ,,"FES invites you to an exclusive In-House Session with Abertay University, Scotland, featuring university officials Doug Watters (Head of International Recruitment) and Zainab Eman (Regional Recruitment Manager). Don’t miss this opportunity to get direct insights about studying in the UK, available programs, scholarships and admission guidance.

📍 Office #31/2, Upper Ground, Mall of Lahore
📅 7th July 2025 | 🕔 5:00 PM
📞 0341 8454848 | 0346 8454546",,,,,,
Paid Ad,,Canada Ad,"Study in Canada
(Highlight Numbers) FOR AD (Big FONT SIZE Pls)

Budget Starting From 70 Lacs 
Scholarships Upto 25%
Duolingo Accepted
Pathway To Permanent Residency
Post Graduation Work Permit Upto 3 Years
Work Up To 20 Hours Per Week 
Work Full-Time During Scheduled Breaks

A-Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake

Contact Now To Check Eligibility!
0346 8454566
0345 8454708
www.fespak.com",Tayyaba,,,Insia,4 July,5 July,Completed ,,None,,,,,,
Paid Ad,,Europe Ad ,"Study in Europe
Hungary | Ireland | Sweden | Germany | France | Netherlands | Finland (flags or names whatever suits)

Budget Starting From 15 Lacs 
Scholarships Upto 100% (Depends on country)
Post Study Work Permit
IELTS | PTE | TOEFL | MOI Accepted 

A-Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake

Contact Now To Check Eligibility!
0346 8454566
0345 8454708
www.fespak.com",Tayyaba,,,Insia,4 July,5 July,Completed ,,None,,,,,,
Event Cover,,USW Deans Event,"University of South Wales 
Application Day
7th July, 2025
11:00 - 5:00 PM
Peshawar 
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

Application Deadline: 10th July, 2025
Get On-Spot Assesment

0345 8454771
www.fespak.com",Raheel,,https://www.facebook.com/photo/?fbid=1112840827553792&set=gm.9746715045350922,Insia,4 July,4 July,Completed ,,"The University of South Wales is coming to Peshawar! Join us for the Application Day on 7th July 2025, from 11:00 AM to 5:00 PM at the FES Office, Deans. Get the chance to receive on-spot assessment, explore available courses, understand the application process and learn about scholarships directly from the experts.

📌 Application deadline: 10th July 2025
📞 For more info: 0345 8454771
🌐 Visit: www.fespak.com",,,,,,
Paid Ad,,Malaysia Ad,"Study in Malaysia
Budget Starting From 25 Lacs 
Scholarships Upto 50%
No Bank Statement
Dual Degree Options
No IELTS Required

O/A Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake
Contact Now To Check Eligibility!
0346 8454566
0345 8454708
www.fespak.com",Tayyaba,,,Insia,4 July,5 July,Completed ,,None,,,,,,
S U N D A Y                                                                                                                        S U N D A Y,,,,,,,,,,,,,,,,,,
Event Cover,,Portsmouth 9 July Deans Event,"University of Portsmouth 
Application Day
9th July, 2025
11:00 - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

0345 8454771
www.fespak.com",Tayyaba,Use Old Designs,,Insia,7 July,7 July,Completed ,,Previous,,,,,,
Event Cover,,ENU 11 July Deans Event,"Edinburgh Napier University 
Application Day
11th July, 2025
11:00 - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

£1,000 Scholarship For 2-Years Courses
£2,000 Scholarship For 1-Year Courses 

Clearing Is Open
Join us to apply before it's too late!

0345 8454771
www.fespak.com",Tayyaba,Use Old Designs,,Insia,7 July,7 July,Completed ,,Previous,,,,,,
Banners,106 x 191 Inches,IELTS Wall B,"Main Word (Center, big):
IELTS
Top Line (above or around “IELTS”):
Band Strategy • Accent Clarity • Time Mastery • Confident Delivery
Bottom Line (below “IELTS”):
Essay Logic • Listening Reflex • Reading Flow • Speaking Rhythm
Tagline (placed neatly at the bottom-right or side):
“Talk better. Think faster. Score higher.”",Raheel,,,Rabab,7 July,7 July,Completed ,,None,,,,,,
Event Cover,,Stirling 12 July Deans Event,"University of Stirling
Application Day
12th July, 2025
11:00 - 4:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

Reasons To Attend
Ranked Among The Top 40 Universities In The UK
Top 30 In The UK For Student Satisfaction (NSS 2023).
Awarded 5 QS Stars 
Scholarship Upto GBP 7000 
MOI Accepted
UCAS Clearing 


0345 8454771
www.fespak.com",Tayyaba,Use Old Designs,,Insia,7 July,7 July,Completed ,,Previous,,,,,,
Event Cover,,Dundee 14 July Deans Event,"University of Dundee
Application Day
14th July, 2025
11:00 - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

Reasons To Attend
* Refundable Deposit
* High Employment Rate
* £6500 - £7500 Automatic Scholarship 
* On-Spot Assessment

OPEN FOR CLEARING (HIGHLIGHT)
Apply Now

0345 8454771
www.fespak.com
",Tayyaba,Use Old Designs,,Insia,7 July,7 July,Completed ,,Previous,,,,,,
Event Cover,,LJMU 15 July Deans Event,"LJMU 
Application Day
15th July, 2025
11:00 AM - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt
 
CLEARING IS OPEN
Apply Now!

0345 8454771
www.fespak.com
",Tayyaba,Use Old Designs,,Insia,7 July,8 July,Completed ,,Previous,,,,,,
Event Cover,,UEA 17 July Deans Event,"UEA
Application Day
17th July, 2025
11:00 AM - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt
 
Discover Options From Clearing For Undergraduate Programs

Important Deadlines
Applications Deadline: 6th August, 2025

Add rankings from website
 
Join Us To Apply On-The Spot
0345 8454771
www.fespak.com
",Tayyaba,Use Old Designs,https://www.uea.ac.uk/,Insia,7 July,9 July,Completed ,,Previous,,,,,,
Event Cover,,UoN 21 July Deans Event,"University of Northhampton
Application Day
21st July, 2025
11:00 AM - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt
 
Discover Options From Clearing For Undergraduate Programs

Join Us To Apply On-The Spot
0345 8454771
www.fespak.com
",Tayyaba,Use Old Designs,,Insia,7 July,9 July,Completed ,,Previous,,,,,,
Event Cover,,MMU 22 July Deans Event,"Manchester Metropolitan University
Application Day
22nd July, 2025
11:00 AM - 5:00 PM
Peshawar Deans
Office LG 425-427, Near Zong Office, Dean’s Center, Peshawar Cantt

Get On-Spot Assessment
Apply For Clearing

0345 8454771
www.fespak.com
",Tayyaba,Use Old Designs,,Insia,7 July,,Completed ,,Previous,,,,,,
SM post,,UCAS Clearing Post 2,"FES logo, 22 Years logo, UCAS logo
Design idea: Split-screen design: Left shows a confused student looking at a laptop (rejected
offer email), right shows the same student smiling after getting help from FES.
Background: FES logo and UK campus visuals.
Tagline: “One Door Closes. Another Opens.”
12 August 2025 – A Level Results Day
Didn’t get the grades you hoped for?
Clearing is open. Let FES help you turn this around.
www.fespak.com
0341-8454888 | 0346-8454999
",Akbar,,,Shumaila,7 July,7 July,Completed ,,"A-level results not what you expected? We’ve helped hundreds of students
find the right university through Clearing.",,,,,,
Event Cover,,MDX In House Session,"FES, 22 Years and MDX Logo
London In-House Session
Study at Middlesex University

Reasons to Attend
Up to £2,000 Scholarship
Global Campuses – UK, Dubai & Mauritius
1,000+ Industry Partners
24/7 Library & World-Class Facilities
Diverse, Friendly and Career-Focused!

Surprises Await You!
🥤 Refreshments | 🎲 Lucky Draw | 🎁 Free Gifts
🏆 Top 3 Profiles = Scholarship + Bonus Gift

 📩 DM NOW to reserve your spot – Limited Seats!

15th July, 2025
11:00 AM - 5:00 PM
Lahore
Plaza #34, DD Commercial Area, DHA Phase 4, Lahore
+92 346 8454454
www.fespak.com",Tayyaba,"Urgent, Use Old event cover but slightly change the structure too",,Insia,7 July,7 July,Completed ,,"Middlesex University, London, is coming to FES DHA Lahore for a one-day exclusive session and it’s more than just course info. From career-focused programs to global campus options and exciting surprises lined up for attendees, this session is your chance to experience what studying at MDX truly looks like.",,,,,,
Printing,A5,IELTS 8.0 by FES ,"IELTS 8.0 BY FES Logo
IELTS PREPARATION COURSE
Starting this Monday
Target Band: 7.0- 8.0
Reasonable Fee
Limited Seats
At FES, our IELTS 8.0 classes are tailored for students like YOU who want to conquer the exam with 7+ bands, and make your study abroad dreams come true.
📍FES, Arbab Rd, University Rd, Peshawar
03458454768",Raheel,Following Sir Touqeer’s advice for a standout design.,,Malaika,7 July,8th July,Completed ,,"Chahe Masters ka plan ho, Bachelors ke liye apply karna ho ya sirf apni English speaking boss level pe le kar aani ho, Toh soochna kesa? Aj hi register karo, link pe click karo ya hamare office aa jao.
Ab IELTS ho ya Study Abroad — FES hai aapka trusted partner.
",,,,,,
Banners,,IELTS Wall C,British Council and AEO Logo,Raheel,,,Rabab,7 July,,Completed ,,None,,,,,,
Banners,,IELTS Wall D,IELTS SUCCESS STORIES FRAMES,Raheel,,,Insia,7 July,14 July,Completed ,,None,,,,,,
SM post,,FES UAE,"USW, FES and 22 Years Logo
Why Choose University of South Wales?

Top in Wales For new business startups for the 5th consecutive year, and 6th in the UK! 

96% of USW graduates are in employment and/or further study 15 months after graduation.

3rd in the UK for total number of active graduate businesses (1st in Wales).

Named in the Top 50 UK institutions for research power by the Times Higher Education.

23rd in the UK in the People & Planet University League (2024/25)

Submit Your Application By 10th July, 2025

Contact us 
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com",Tayyaba,"Urgent, dark",https://www.southwales.ac.uk/,Insia,7 July,8 July,Completed ,,"Looking for a university that combines innovation, impact and career success? The University of South Wales (USW) is the one, making waves across the UK. Submit your application by 10th July, 2025 and take your first step toward a future that moves with purpose.",Posted,,,,,
SM post,,FES UAE,"FES, 22 Years & USW Logo
Secure Your Future In The UK With
University of South Wales
This September 2025 Intake 

You Still Have Time To Apply!
Contact us now
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com

",Tayyaba,"light, USE Their Logo Shape in the design",,Insia,7 July,8 July,Completed ,,"Whether you're looking for the right course, want to know about scholarships, or need help with your application contact us now!",Posted,,,,,
SM post,,FES UAE,"FES, 22 Years and USW Logo
Deadlines For International Students


Application Deadline: 10th July 2025
Deadline to Meet Conditions: 15th July 2025
KIRA Interview Deadline: 21st July 2025
CAS Issuance Deadline: 23rd July 2025

Study with a scholarship of up to £2,500

Contact us now
+971 50 551 9464 
dubai@fesgateway.com
www.fesgateway.com",Tayyaba,dark,,Insia,7 July,9 July,Completed ,,September 2025 Intake Closing Soon. Hurry up and take your decision!,Posted,,,,,
Event Cover,,USW HO Event,"University of South Wales 
Application Day
10th July, 2025
3:00 PM - 5:00 PM
Lahore
Office # 31/2, Upper Ground, Mall of Lahore

Avail Scholarship of Upto £2,500
Application Deadline: 10th July, 2025
Join Us & Apply On-Spot

0341 8454848
0346 8454546
www.fespak.com",Raheel,"Urgent, Use Old Design",,Insia,8 July,8 July,Completed ,,Previous,,,,,,
SM post,,Georgian College,"FES logo, 22 Years, Georgian College logo
Application Fee Waiver 
in IAS-OCAS
Avail until:
15th July for September 2025 Intake
30th September for January 2026 Intake
Apply Now
0341-8454888 | 0346-8454999
www.fespak.com
",Raheel,Priroity Task,,Shumaila,8 July,11 July,Completed ,,Avail a limited-time application fee waiver for Georgian College in IAS-OCAS. Apply for the September 2025 intake by 15th July or for January 2026 by 30th September.,Posted,,,,,
SM post,,Special Days,"FES logo
58th Death Anniversary
Fatima Jinnah
(1893 – 1967)
www.fespak.com
",Akbar,,,Shumaila,8 July,,Completed ,,"Remembering Madar-e-Millat – Fatima Jinnah. A woman who stood tall in a time when few did, Fatima Jinnah wasn’t just the sister of the Quaid — she was a powerful voice for women’s rights, dignity and national pride. May her soul rest in eternal peace. 🕊🇵🇰",Posted,,,,,
Paid Ad,1080x1080,USW HO Event,"University of South Wales 
Application Day
10th July, 2025
3:00 PM - 5:00 PM
Lahore
Office # 31/2, Upper Ground, Mall of Lahore

Avail Scholarship of Upto £2,500
Application Deadline: 10th July, 2025
Join Us & Apply On-Spot

0341 8454848
0346 8454546
www.fespak.com",Raheel,Convert,,Insia,8 July,8 July,Completed ,,"What if one visit could change your future? The University of South Wales is coming to Lahore, and they’re bringing opportunities with them! Join us at the FES Head Office on 10th July from 3:00 PM to 5:00 PM, for an exclusive Application Day. Whether you're looking for the right course, want to know about scholarships, or need help with your application — this event is for you. And yes, on-spot assessments are happening too!

Don’t miss this chance to connect, engage and apply!",Posted,,,,,
SM post,,"Welcome post
Peshawar Office","Yasir Jamal
Business Development Manager
",Raheel,,https://www.linkedin.com/in/yasir-jamal-khattak-2a757b34?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=android_app,Shumaila,8 July,8 July,Completed ,,"Welcome aboard! We’re excited to have you join the FES family and can’t wait to see the impact you’ll make. A warm welcome to our newest team member, Yasir Jamal, on joining as Business Development Manager. Let’s achieve great heights together!",,,,,,
SM post,,Abertay Collage,Abertay Post Event Pictures,Tayyaba,,,Shumaila,8 July,,Completed ,,"We were honored to welcome Doug Watters and Zainab Eman from Abertay University, Scotland for an Exclusive In-House Session at Head Office, Lahore. The session was enriched by the presence of Syed Tehsin Shah, CEO & GM, FES Consultants, who not only joined the discussion but also engaged meaningfully with the university representatives, reflecting the spirit of collaboration and student-first commitment that defines FES. 
It was a powerful exchange of ideas, insights and shared goals with Doug and Zainab offering practical guidance and valuable perspectives to students aspiring to study in the UK. We truly value the time, energy and expertise you brought to this session and look forward to many more impactful collaborations ahead.",,,,,,
Event Cover,,USW App-Week ,"FES, USW logo
Mango Fiesta Application Week for the University of South Wales.
Event Date: July 14th, 2025- July 19th, 2025
Time: 11 am to 5 pm
Location: Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar.
Join us for an exclusive Mango Fiesta Application Week with a seasoned Education Counselor from the University of South Wales!

This is your chance to:
✅ Get your queries answered.
✅ Explore Major scholarships and Part-Time job opportunities.
✅ Learn more about Flexibe Study Modes at USW
✅ On-spot assessment and application process
💼 Ideal for: Students aspiring to study at the University of South Wales

🔗 Register Now: 
📞 For inquiries:    0346 8454999
0346 8454444",Raheel,"For this design, I’d like the primary color to be yellow, inspired by the summery look of a Mango Fiesta. Please reflect that in the overall theme.",,Malaika,8 July,10 July,Completed ,,"Make your dreams sweeter this summer with fresh mango vibes, expert study guidance, scholarship updates & on-spot application assessments. Why taste just mangos this summer? Taste global opportunities too.",,,,,,
Event Cover,,Study in Hungry,"FES 22 years logo
Coffee with Counselors Application Week for Study in Hungary
Application Week Highlights:
Without IELTS Option Available
Fast Admission Process
Scholarships up to €2,000
Part-Time Work Opportunities
Low Living Costs Compared to Other European Countries
English-Taught Programs

A-Level | Matric | Bachelor’s Students Are Encouraged To Apply For The September 2025 Intake

0346 8454566
0345 8454708
www.fespak.com
Event Date: July 14th, 2025- July 19th, 2025
Time: 11 am to 5 pm
Location: Office 2-4, 1st Floor, Azam Towers, Arbab Road Stop, University Road, Peshawar.",Tayyaba,Please avoid using generic images of male or female models in the graphics. ,,Malaika,8 July,9 July,Completed ,,"Brew Your Study Abroad Dreams with FES. Drop by our office & unlock your chance to study in Hungary this September. Grab your spot for Europe’s coolest opportunity.
",,,,,,
SM post,,Testimonial,"I wanted to extend my heartfelt gratitude for your invaluable support during my interview preparation. I am pleased to inform you that I have recently passed my IELTS test with an overall band score of 6. This achievement would not have been possible without your guidance and encouragement. Thank you for your sincere efforts and dedication. I truly appreciate everything you have done to help me succeed. I will carry the values and lessons I’ve learned at FES with me and I hope to make you and the consultancy proud in every step of my journey.

Faisal Khan",Raheel,,,Insia,8 July,,,,"Every milestone begins with a decision to try. Faisal Khan made that decision, found the right guidance at FES and turned his dream into reality. If he can do it, so can you. Let FES be part of your story too. ",,,,,,
Event Cover,,BCU DHA Event,"FES, 22 Years and BCU Logo
Birmingham City University 
In-House Session

(highlight these 3 points)
10th July, 2025
2:00 PM 
FES Office, DHA, Lahore

Top Reasons To Attend
Affordable Tuition: £12,000–£15,500/Year
Scholarships Up To £2,000
£400M+ Invested In Modern Facilities
84%+ Student Satisfaction
300+ UG & 190+ PG Programs
Globally Accredited Courses (ACCA - CIMA - RIBA)


0345 8454769
www.fespak.com
",Raheel,,,Insia,9th July,9th July,Completed ,,"Curious about studying at Birmingham City University? Join us on 10th July, 2025 at 2:00 PM at the FES Office, DHA Lahore to discover what makes BCU a top choice for international students. With affordable tuition starting from £12,000, scholarships upto £2,000, and £400M+ invested in state-of-the-art facilities, there’s a lot to explore! Offering 300+ undergraduate and 190+ postgraduate programs, along with globally accredited courses like ACCA, CIMA, and RIBA, this session is your chance to get all the answers you’re looking for.",,,,,,
Event Cover,,14 -19 Abbtt Event,"FES, 22 years
Application Week 
Meet Top UK Universities | University of East Anglia, University of Dundee & More!
14th July - 19th July, 2025
11 AM to 5 PM
Abbottabad (Highlight)
Office 103-104, 1st Floor, Bilal Plaza, Adjacent Silk Plaza, Abbottabad

✅ On-Spot Applications
✅ Scholarships Upto £9,000
✅ No Application Fees
✅ MOI, Oxford ELLT & Duolingo Accepted
✅ Flexible 9-Month Installment Plan
✅ Minimum £4,000 Initial Deposit Required

📞 For inquiries:    03458454772
03468454747""",Tayyaba,,https://www.uea.ac.uk/,Insia,,,Completed ,,"FES is bringing you an exclusive UK Application Week from 14th to 19th July 2025, 11 AM to 5 PM, at FES Office, Abbottabad. Explore top UK universities including the University of East Anglia, University of Dundee and many more, all in one place!

Apply on the spot with no application fee, explore scholarships up to £9,000 and benefit from a flexible 9-month installment plan with only £4,000 initial deposit. Tests like MOI, Oxford ELLT and Duolingo are accepted, making the process smoother than ever!",,,,,,
